prefettura,settimana_anno,tasso_per_punto,data_inizio,data_fine
Hokkaido,42,3.29,2025-10-13,2025-10-19
Hokkaido,43,8.43,2025-10-20,2025-10-26
Hokkaido,44,24.99,2025-10-27,2025-11-02
Hokkaido,45,28.2,2025-11-03,2025-11-09
Hokkaido,46,44.01,2025-11-10,2025-11-16
Aomori,42,0.83,2025-10-13,2025-10-19
Aomori,43,2.19,2025-10-20,2025-10-26
Aomori,44,6.69,2025-10-27,2025-11-02
Aomori,45,12.5,2025-11-03,2025-11-09
Aomori,46,31.5,2025-11-10,2025-11-16
Iwate,42,2.48,2025-10-13,2025-10-19
Iwate,43,6.31,2025-10-20,2025-10-26
Iwate,44,17.67,2025-10-27,2025-11-02
Iwate,45,30.24,2025-11-03,2025-11-09
Iwate,46,55.9,2025-11-10,2025-11-16
Miyagi,42,3.45,2025-10-13,2025-10-19
Miyagi,43,8.35,2025-10-20,2025-10-26
Miyagi,44,28.58,2025-10-27,2025-11-02
Miyagi,45,47.11,2025-11-03,2025-11-09
Miyagi,46,80.02,2025-11-10,2025-11-16
Akita,42,1.2,2025-10-13,2025-10-19
Akita,43,3.92,2025-10-20,2025-10-26
Akita,44,15.4,2025-10-27,2025-11-02
Akita,45,27.68,2025-11-03,2025-11-09
Akita,46,54.6,2025-11-10,2025-11-16
Yamagata,42,0.82,2025-10-13,2025-10-19
Yamagata,43,3.74,2025-10-20,2025-10-26
Yamagata,44,15.31,2025-10-27,2025-11-02
Yamagata,45,26.36,2025-11-03,2025-11-09
Yamagata,46,47.05,2025-11-10,2025-11-16
Fukushima,42,3.17,2025-10-13,2025-10-19
Fukushima,43,6.33,2025-10-20,2025-10-26
Fukushima,44,15.98,2025-10-27,2025-11-02
Fukushima,45,34.63,2025-11-03,2025-11-09
Fukushima,46,58.54,2025-11-10,2025-11-16
Ibaraki,42,2.47,2025-10-13,2025-10-19
Ibaraki,43,5.43,2025-10-20,2025-10-26
Ibaraki,44,14.94,2025-10-27,2025-11-02
Ibaraki,45,22.9,2025-11-03,2025-11-09
Ibaraki,46,43.94,2025-11-10,2025-11-16
Tochigi,42,1.3,2025-10-13,2025-10-19
Tochigi,43,3.79,2025-10-20,2025-10-26
Tochigi,44,13.81,2025-10-27,2025-11-02
Tochigi,45,25.06,2025-11-03,2025-11-09
Tochigi,46,49.6,2025-11-10,2025-11-16
Gunma,42,2.07,2025-10-13,2025-10-19
Gunma,43,4.98,2025-10-20,2025-10-26
Gunma,44,12.27,2025-10-27,2025-11-02
Gunma,45,19.02,2025-11-03,2025-11-09
Gunma,46,52.16,2025-11-10,2025-11-16
Saitama,42,6.23,2025-10-13,2025-10-19
Saitama,43,11.73,2025-10-20,2025-10-26
Saitama,44,27.91,2025-10-27,2025-11-02
Saitama,45,45.78,2025-11-03,2025-11-09
Saitama,46,70.01,2025-11-10,2025-11-16
Chiba,42,6.99,2025-10-13,2025-10-19
Chiba,43,11.82,2025-10-20,2025-10-26
Chiba,44,25.04,2025-10-27,2025-11-02
Chiba,45,29.95,2025-11-03,2025-11-09
Chiba,46,53.47,2025-11-10,2025-11-16
Tokyo,42,5.59,2025-10-13,2025-10-19
Tokyo,43,10.37,2025-10-20,2025-10-26
Tokyo,44,23.69,2025-10-27,2025-11-02
Tokyo,45,29.03,2025-11-03,2025-11-09
Tokyo,46,44.75,2025-11-10,2025-11-16
Kanagawa,42,5.62,2025-10-13,2025-10-19
Kanagawa,43,11.88,2025-10-20,2025-10-26
Kanagawa,44,28.47,2025-10-27,2025-11-02
Kanagawa,45,36.57,2025-11-03,2025-11-09
Kanagawa,46,55.12,2025-11-10,2025-11-16
Niigata,42,0.85,2025-10-13,2025-10-19
Niigata,43,2.05,2025-10-20,2025-10-26
Niigata,44,4.15,2025-10-27,2025-11-02
Niigata,45,11.2,2025-11-03,2025-11-09
Niigata,46,24.53,2025-11-10,2025-11-16
Toyama,42,0.63,2025-10-13,2025-10-19
Toyama,43,1.92,2025-10-20,2025-10-26
Toyama,44,7.83,2025-10-27,2025-11-02
Toyama,45,13.75,2025-11-03,2025-11-09
Toyama,46,34.58,2025-11-10,2025-11-16
Ishikawa,42,2.15,2025-10-13,2025-10-19
Ishikawa,43,3.89,2025-10-20,2025-10-26
Ishikawa,44,10.38,2025-10-27,2025-11-02
Ishikawa,45,19.43,2025-11-03,2025-11-09
Ishikawa,46,38.4,2025-11-10,2025-11-16
Fukui,42,0.82,2025-10-13,2025-10-19
Fukui,43,2.95,2025-10-20,2025-10-26
Fukui,44,4.56,2025-10-27,2025-11-02
Fukui,45,9.67,2025-11-03,2025-11-09
Fukui,46,28.03,2025-11-10,2025-11-16
Yamanashi,42,1.2,2025-10-13,2025-10-19
Yamanashi,43,2.37,2025-10-20,2025-10-26
Yamanashi,44,5.57,2025-10-27,2025-11-02
Yamanashi,45,9.09,2025-11-03,2025-11-09
Yamanashi,46,21.91,2025-11-10,2025-11-16
Nagano,42,1.32,2025-10-13,2025-10-19
Nagano,43,1.41,2025-10-20,2025-10-26
Nagano,44,3.7,2025-10-27,2025-11-02
Nagano,45,11.51,2025-11-03,2025-11-09
Nagano,46,30.61,2025-11-10,2025-11-16
Gifu,42,1.27,2025-10-13,2025-10-19
Gifu,43,2.13,2025-10-20,2025-10-26
Gifu,44,7,2025-10-27,2025-11-02
Gifu,45,13.58,2025-11-03,2025-11-09
Gifu,46,22.78,2025-11-10,2025-11-16
Shizuoka,42,4.23,2025-10-13,2025-10-19
Shizuoka,43,5.25,2025-10-20,2025-10-26
Shizuoka,44,10.4,2025-10-27,2025-11-02
Shizuoka,45,14.65,2025-11-03,2025-11-09
Shizuoka,46,27.76,2025-11-10,2025-11-16
Aichi,42,1.44,2025-10-13,2025-10-19
Aichi,43,3.64,2025-10-20,2025-10-26
Aichi,44,11.5,2025-10-27,2025-11-02
Aichi,45,19.6,2025-11-03,2025-11-09
Aichi,46,39.56,2025-11-10,2025-11-16
Mie,42,2.47,2025-10-13,2025-10-19
Mie,43,4.66,2025-10-20,2025-10-26
Mie,44,12.34,2025-10-27,2025-11-02
Mie,45,18,2025-11-03,2025-11-09
Mie,46,31.49,2025-11-10,2025-11-16
Shiga,42,1.38,2025-10-13,2025-10-19
Shiga,43,2.79,2025-10-20,2025-10-26
Shiga,44,6.47,2025-10-27,2025-11-02
Shiga,45,11.12,2025-11-03,2025-11-09
Shiga,46,27.28,2025-11-10,2025-11-16
Kyoto,42,2.38,2025-10-13,2025-10-19
Kyoto,43,4.49,2025-10-20,2025-10-26
Kyoto,44,12.73,2025-10-27,2025-11-02
Kyoto,45,20.87,2025-11-03,2025-11-09
Kyoto,46,41.55,2025-11-10,2025-11-16
Osaka,42,2.74,2025-10-13,2025-10-19
Osaka,43,5.68,2025-10-20,2025-10-26
Osaka,44,13.33,2025-10-27,2025-11-02
Osaka,45,19.74,2025-11-03,2025-11-09
Osaka,46,31.57,2025-11-10,2025-11-16
Hyogo,42,2.66,2025-10-13,2025-10-19
Hyogo,43,5.85,2025-10-20,2025-10-26
Hyogo,44,15.27,2025-10-27,2025-11-02
Hyogo,45,25.3,2025-11-03,2025-11-09
Hyogo,46,40.57,2025-11-10,2025-11-16
Nara,42,1.93,2025-10-13,2025-10-19
Nara,43,4.26,2025-10-20,2025-10-26
Nara,44,10.4,2025-10-27,2025-11-02
Nara,45,19.14,2025-11-03,2025-11-09
Nara,46,33.95,2025-11-10,2025-11-16
Wakayama,42,2.58,2025-10-13,2025-10-19
Wakayama,43,7.2,2025-10-20,2025-10-26
Wakayama,44,10.69,2025-10-27,2025-11-02
Wakayama,45,16.13,2025-11-03,2025-11-09
Wakayama,46,29.4,2025-11-10,2025-11-16
Tottori,42,0.38,2025-10-13,2025-10-19
Tottori,43,1.07,2025-10-20,2025-10-26
Tottori,44,1.1,2025-10-27,2025-11-02
Tottori,45,4.38,2025-11-03,2025-11-09
Tottori,46,13.62,2025-11-10,2025-11-16
Shimane,42,3.2,2025-10-13,2025-10-19
Shimane,43,2.8,2025-10-20,2025-10-26
Shimane,44,4.75,2025-10-27,2025-11-02
Shimane,45,12.05,2025-11-03,2025-11-09
Shimane,46,18.2,2025-11-10,2025-11-16
Okayama,42,0.48,2025-10-13,2025-10-19
Okayama,43,2.88,2025-10-20,2025-10-26
Okayama,44,4.52,2025-10-27,2025-11-02
Okayama,45,9.86,2025-11-03,2025-11-09
Okayama,46,21,2025-11-10,2025-11-16
Hiroshima,42,0.98,2025-10-13,2025-10-19
Hiroshima,43,2.02,2025-10-20,2025-10-26
Hiroshima,44,3.7,2025-10-27,2025-11-02
Hiroshima,45,9.27,2025-11-03,2025-11-09
Hiroshima,46,18.51,2025-11-10,2025-11-16
Yamaguchi,42,1.08,2025-10-13,2025-10-19
Yamaguchi,43,3.95,2025-10-20,2025-10-26
Yamaguchi,44,8.94,2025-10-27,2025-11-02
Yamaguchi,45,13.7,2025-11-03,2025-11-09
Yamaguchi,46,25.92,2025-11-10,2025-11-16
Tokushima,42,0.76,2025-10-13,2025-10-19
Tokushima,43,0.85,2025-10-20,2025-10-26
Tokushima,44,2.32,2025-10-27,2025-11-02
Tokushima,45,4.79,2025-11-03,2025-11-09
Tokushima,46,8.59,2025-11-10,2025-11-16
Kagawa,42,1.1,2025-10-13,2025-10-19
Kagawa,43,1.3,2025-10-20,2025-10-26
Kagawa,44,3.43,2025-10-27,2025-11-02
Kagawa,45,7.03,2025-11-03,2025-11-09
Kagawa,46,15.73,2025-11-10,2025-11-16
Ehime,42,1.32,2025-10-13,2025-10-19
Ehime,43,6.59,2025-10-20,2025-10-26
Ehime,44,12.78,2025-10-27,2025-11-02
Ehime,45,20.3,2025-11-03,2025-11-09
Ehime,46,27.33,2025-11-10,2025-11-16
Kochi,42,0.53,2025-10-13,2025-10-19
Kochi,43,0.61,2025-10-20,2025-10-26
Kochi,44,0.92,2025-10-27,2025-11-02
Kochi,45,3.13,2025-11-03,2025-11-09
Kochi,46,7.08,2025-11-10,2025-11-16
Fukuoka,42,2.7,2025-10-13,2025-10-19
Fukuoka,43,3.93,2025-10-20,2025-10-26
Fukuoka,44,8.47,2025-10-27,2025-11-02
Fukuoka,45,12.8,2025-11-03,2025-11-09
Fukuoka,46,20.89,2025-11-10,2025-11-16
Saga,42,0.67,2025-10-13,2025-10-19
Saga,43,0.79,2025-10-20,2025-10-26
Saga,44,3.92,2025-10-27,2025-11-02
Saga,45,4.92,2025-11-03,2025-11-09
Saga,46,8.92,2025-11-10,2025-11-16
Nagasaki,42,2.86,2025-10-13,2025-10-19
Nagasaki,43,2.24,2025-10-20,2025-10-26
Nagasaki,44,3.53,2025-10-27,2025-11-02
Nagasaki,45,9.22,2025-11-03,2025-11-09
Nagasaki,46,23.92,2025-11-10,2025-11-16
Kumamoto,42,1.29,2025-10-13,2025-10-19
Kumamoto,43,2.68,2025-10-20,2025-10-26
Kumamoto,44,4.36,2025-10-27,2025-11-02
Kumamoto,45,8.13,2025-11-03,2025-11-09
Kumamoto,46,17.96,2025-11-10,2025-11-16
Oita,42,3.45,2025-10-13,2025-10-19
Oita,43,6.07,2025-10-20,2025-10-26
Oita,44,12.81,2025-10-27,2025-11-02
Oita,45,17.16,2025-11-03,2025-11-09
Oita,46,31.72,2025-11-10,2025-11-16
Miyazaki,42,2.43,2025-10-13,2025-10-19
Miyazaki,43,1.57,2025-10-20,2025-10-26
Miyazaki,44,2.18,2025-10-27,2025-11-02
Miyazaki,45,5.39,2025-11-03,2025-11-09
Miyazaki,46,12.21,2025-11-10,2025-11-16
Kagoshima,42,1.32,2025-10-13,2025-10-19
Kagoshima,43,2.72,2025-10-20,2025-10-26
Kagoshima,44,3.18,2025-10-27,2025-11-02
Kagoshima,45,4.02,2025-11-03,2025-11-09
Kagoshima,46,8.86,2025-11-10,2025-11-16
Okinawa,42,15.04,2025-10-13,2025-10-19
Okinawa,43,19.4,2025-10-20,2025-10-26
Okinawa,44,23.8,2025-10-27,2025-11-02
Okinawa,45,23.44,2025-11-03,2025-11-09
Okinawa,46,21.71,2025-11-10,2025-11-16
Totale Nazionale,42,3.26,2025-10-13,2025-10-19
Totale Nazionale,43,6.29,2025-10-20,2025-10-26
Totale Nazionale,44,14.9,2025-10-27,2025-11-02
Totale Nazionale,45,21.82,2025-11-03,2025-11-09
Totale Nazionale,46,37.73,2025-11-10,2025-11-16
